Order No,User Id,Vehicle Type,Platform Type,Personal or Business,Placement - Day of Month,Placement - Weekday (Mo = 1),Placement - Time,Confirmation - Day of Month,Confirmation - Weekday (Mo = 1),Confirmation - Time,Arrival at Pickup - Day of Month,Arrival at Pickup - Weekday (Mo = 1),Arrival at Pickup - Time,Pickup - Day of Month,Pickup - Weekday (Mo = 1),Pickup - Time,Arrival at Destination - Day of Month,Arrival at Destination - Weekday (Mo = 1),Arrival at Destination - Time,Distance (KM),Temperature,Precipitation in millimeters,Pickup Lat,Pickup Long,Destination Lat,Destination Long,Rider Id,Time from Pickup to Arrival
Order_No_2874,User_Id_3647,Bike,3,Business,7,3,12:53:49 PM,7,3,12:54:44 PM,7,3,1:04:52 PM,7,3,1:10:29 PM,7,3,1:21:45 PM,3,25.1,,-1.2726389999999999,36.794723,-1.2674482,36.8076994,Rider_Id_646,676
Order_No_26860,User_Id_2763,Bike,3,Business,27,3,2:23:20 PM,27,3,2:23:38 PM,27,3,2:24:56 PM,27,3,2:38:01 PM,27,3,3:16:17 PM,14,29.0,,-1.2551895,36.7822034,-1.3015998,36.8764939,Rider_Id_579,2296
Order_No_10343,User_Id_2884,Bike,3,Personal,3,1,12:57:09 PM,3,1,12:57:40 PM,3,1,1:09:24 PM,3,1,1:18:18 PM,3,1,1:26:09 PM,3,21.7,,-1.3021968000000002,36.7874256,-1.3039411,36.7695316,Rider_Id_146,471
Order_No_9039,User_Id_1033,Bike,3,Personal,26,2,1:18:16 PM,26,2,1:18:53 PM,26,2,1:18:56 PM,26,2,1:28:14 PM,26,2,1:50:29 PM,15,26.0,,-1.2227615,36.8989174,-1.2631940000000002,36.797624,Rider_Id_345,1335
Order_No_16609,User_Id_1209,Bike,3,Business,15,1,2:04:21 PM,15,1,2:04:45 PM,15,1,2:12:57 PM,15,1,2:23:09 PM,15,1,2:30:35 PM,4,,,-1.3077869,36.844320700000004,-1.3004062,36.829741,Rider_Id_206,446
Order_No_9516,User_Id_2154,Bike,3,Business,6,2,1:24:20 PM,6,2,2:03:56 PM,6,2,2:26:26 PM,6,2,2:29:55 PM,6,2,2:44:19 PM,6,27.3,,-1.28878,36.8168312,-1.2765736,36.851364600000004,Rider_Id_878,864
Order_No_15830,User_Id_2858,Bike,3,Business,7,5,12:59:16 PM,7,5,12:59:29 PM,7,5,1:13:00 PM,7,5,1:14:19 PM,7,5,1:59:09 PM,18,24.9,,-1.3164106000000002,36.6952197,-1.2534301,36.800098299999995,Rider_Id_167,2690
Order_No_22495,User_Id_235,Bike,3,Personal,29,2,7:24:42 AM,29,2,7:25:54 AM,29,2,7:59:25 AM,29,2,8:06:42 AM,29,2,9:00:00 AM,16,18.2,,-1.2643343,36.7447423,-1.3173868999999998,36.8112044,Rider_Id_936,3198
Order_No_11690,User_Id_3450,Bike,3,Business,5,3,3:18:01 PM,5,3,3:24:17 PM,5,3,3:27:55 PM,5,3,3:43:07 PM,5,3,4:22:19 PM,7,25.2,,-1.2551895,36.7822034,-1.2575370000000001,36.843066,Rider_Id_614,2352
Order_No_17948,User_Id_59,Bike,3,Business,14,4,1:03:46 PM,14,4,1:05:18 PM,14,4,1:12:47 PM,14,4,1:24:30 PM,14,4,2:04:31 PM,16,24.8,,-1.290894,36.822971,-1.3124537,36.925365,Rider_Id_548,2401
Order_No_26298,User_Id_2523,Bike,3,Business,26,1,12:09:50 PM,26,1,12:28:00 PM,26,1,12:41:15 PM,26,1,12:42:49 PM,26,1,12:57:50 PM,9,23.2,,-1.2551895,36.7822034,-1.3090727,36.831526200000006,Rider_Id_425,901
Order_No_19198,User_Id_53,Bike,3,Business,1,4,11:46:18 AM,1,4,11:46:26 AM,1,4,11:46:34 AM,1,4,12:22:13 PM,1,4,12:52:38 PM,19,,,-1.3177546999999998,36.8303703,-1.3192788999999998,36.711299100000005,Rider_Id_619,1825
Order_No_23887,User_Id_2987,Bike,1,Business,12,4,3:18:07 PM,12,4,3:21:32 PM,12,4,4:01:13 PM,12,4,4:09:43 PM,12,4,4:20:55 PM,4,21.6,,-1.2702120000000001,36.82108770000001,-1.2649605,36.798177700000004,Rider_Id_427,672
